slot_id,kind,gold_id,meaning,expected_state,review_status,output_ids_and_fields,recovered_0_or_1,state_or_blocking_correct_0_or_1,evidence,notes
L03-1,R,R1a,직원 역할,C,pending,,,,,
L03-1,R,R1b,관리자 역할,C,pending,,,,,
L03-1,R,R1c,계정과 소속팀 정보 제공,C,pending,,,,,
L03-1,R,R2,"직원의 본인 휴가 신청 및 시작일, 종료일, 사유 입력",C,pending,,,,,
L03-1,R,R3,시작일이 오늘/미래이고 시작일≤종료일 검증,C,pending,,,,,
L03-1,R,R4,"본인의 대기, 승인 건과 날짜 중복 거부",C,pending,,,,,
L03-1,R,R5a1,관리자의 처리 대상은 대기 건만,C,pending,,,,,
L03-1,R,R5a2,승인 처리는 한 단계,C,pending,,,,,
L03-1,R,R5a3,관리자가 승인할 수 있다,C,pending,,,,,
L03-1,R,R5a4,관리자가 반려할 수 있다,C,pending,,,,,
L03-1,R,R5b,"승인, 반려할 직원의 팀 범위는 미정",N/B,pending,,,,,
L03-1,R,R6,반려 사유 필수 및 직원에게 공개,C,pending,,,,,
L03-1,R,R7a,생성 시 대기 상태,C,pending,,,,,
L03-1,R,R7b,승인은 최종 상태,C,pending,,,,,
L03-1,R,R7c,반려는 최종 상태,C,pending,,,,,
L03-1,R,R7d,취소는 최종 상태,C,pending,,,,,
L03-1,R,R8,본인 대기 건만 취소 가능,C,pending,,,,,
L03-1,R,R9,"수정 미지원, 다시 신청",C,pending,,,,,
L03-1,R,R10,처리 완료 건의 재처리 거부,C,pending,,,,,
L03-1,R,R11,직원 본인 내역/관리자 같은 팀 내역 조회 경계,C,pending,,,,,
L03-1,R,R12a,휴가 유형 구분 제외,C,pending,,,,,
L03-1,R,R12b,연차 잔액 및 차감 제외,C,pending,,,,,
L03-1,R,R12c,휴일 계산 제외,C,pending,,,,,
L03-1,R,R12d,알림 제외,C,pending,,,,,
L03-1,R,R12e,외부 연동 제외,C,pending,,,,,
L03-1,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
L04-1,R,R1,관리자 역할이 있다,C,pending,,,,,
L04-1,R,R3,관리자가 직원 휴가를 승인할 수 있다,C,pending,,,,,
L04-1,R,R4,관리자가 직원 휴가를 반려할 수 있다,C,pending,,,,,
L04-1,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
L04-1,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
L04-1,G,G3a,시나리오 문서의 G3a,blocking=true,pending,,,,,
L04-1,G,G3b,시나리오 문서의 G3b,blocking=true,pending,,,,,
L05-1,R,R1a,관리자 역할,C,pending,,,,,
L05-1,R,R1b,직원 역할,C,pending,,,,,
L05-1,R,R1c,계정과 직원 목록 제공,C,pending,,,,,
L05-1,R,R2,"관리자가 확정된 휴가 기록을 직접 등록, 조회",C,pending,,,,,
L05-1,R,R3,"등록 정보는 직원, 시작일, 종료일",C,pending,,,,,
L05-1,R,R4,종료일<시작일인 등록 거부,C,pending,,,,,
L05-1,R,R5,직원은 본인 기록 조회만 가능,C,pending,,,,,
L05-1,R,R6,승인 상태 없음,C,pending,,,,,
L05-1,R,R7a,직원 직접 신청 제외,C,pending,,,,,
L05-1,R,R7b,승인 및 반려 제외,C,pending,,,,,
L05-1,R,R7c,수정 및 취소 제외,C,pending,,,,,
L05-1,R,R7d,잔여 일수 계산 제외,C,pending,,,,,
L05-1,R,R7e,외부 연동 제외,C,pending,,,,,
L06-1,R,R1,"직원, 관리자 역할과 제공된 계정",C,pending,,,,,
L06-1,R,R2,"직원의 본인 신청, 시작일, 종료일",C,pending,,,,,
L06-1,R,R3,"관리자는 전 직원 대기 건을 한 단계로 승인, 반려",C,pending,,,,,
L06-1,R,R4,"잘못된 날짜 순서, 본인 대기/승인 건 중복 거부",C,pending,,,,,
L06-1,R,R5,대기 중 취소 허용과 등록 후 취소 금지가 충돌,N/B,pending,,,,,
L06-1,R,R6a,생성 시 대기 상태,C,pending,,,,,
L06-1,R,R6b,"승인, 반려, 취소는 최종 상태",C,pending,,,,,
L06-1,R,R6c,처리 완료 건의 재처리 거부,C,pending,,,,,
L06-1,R,R7,직원 본인/관리자 전체 조회,C,pending,,,,,
L06-1,R,R8,"수정, 반려 사유, 연차, 알림, 외부 연동 제외",C,pending,,,,,
L06-1,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
R01-1,R,R1,직원 역할,C,pending,,,,,
R01-1,R,R2,직원이 회의실을 예약,C,pending,,,,,
R01-1,R,R3,직원이 본인 예약을 조회,C,pending,,,,,
R01-1,G,G1a,시나리오 문서의 G1a,blocking=true,pending,,,,,
R01-1,G,G1b,시나리오 문서의 G1b,blocking=true,pending,,,,,
R01-1,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
R02-1,R,R1,"직원 역할, 계정과 회의실 목록 제공",C,pending,,,,,
R02-1,R,R2,"회의실, 같은 날 시작/종료로 예약, 자기 예약 조회",C,pending,,,,,
R02-1,R,R3,"Asia/Seoul 및 미래 시작, 시작<종료 검증",C,pending,,,,,
R02-1,R,R4,"같은 회의실 시간 중복 거부, 경계 맞닿음 허용",C,pending,,,,,
R02-1,R,R5,동시 요청도 중복 확정 금지,C,pending,,,,,
R02-1,R,R6,"즉시 확정, 승인 없음",C,pending,,,,,
R02-1,R,R7,본인 시작 전 취소와 시간 재예약 허용,C,pending,,,,,
R02-1,R,R8,"시작 후 취소, 타인 취소 거부",C,pending,,,,,
R02-1,R,R9,"수정, 반복, 알림, 캘린더 제외",C,pending,,,,,
E01-1,R,R1,"직원, 팀장, 재무 담당자 역할과 계정 제공",C,pending,,,,,
E01-1,R,R2,"직원의 금액, 영수증 정산 신청",C,pending,,,,,
E01-1,R,R3,"팀장의 자기 팀 신청 승인, 반려",C,pending,,,,,
E01-1,R,R4,일정 금액 이상일 때 재무 추가 승인 필요,C,pending,,,,,
E01-1,R,R5,추가 승인 기준 금액 미정,N/B,pending,,,,,
E01-1,R,R6,"지급, 회계 연동 제외",C,pending,,,,,
E01-1,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
E01-1,G,G2a,시나리오 문서의 G2a,blocking=true,pending,,,,,
E01-1,G,G2b,시나리오 문서의 G2b,blocking=true,pending,,,,,
S01-1,R,R1,"고객, 상담원 역할과 제공된 계정",C,pending,,,,,
S01-1,R,R2,"제목, 본문 문의 등록 및 고객 본인 조회",C,pending,,,,,
S01-1,R,R3,"상담원 전체 접수 문의 조회, 답변 하나 등록",C,pending,,,,,
S01-1,R,R4,"접수→완료, 재답변, 재개 없음",C,pending,,,,,
S01-1,R,R5,"빈 제목, 본문, 답변 거부",C,pending,,,,,
S01-1,R,R6,"수정, 삭제, 첨부, 알림, 외부 연동 제외",C,pending,,,,,
S01-1,R,R7,완료 배지 색상 미정,N/N,pending,,,,,
A01-1,R,R1,"직원, 장비 담당자 역할과 제공된 계정/장비 목록",C,pending,,,,,
A01-1,R,R2,"직원의 대여 가능한 장비 선택, 신청",C,pending,,,,,
A01-1,R,R3,담당자 승인,C,pending,,,,,
A01-1,R,R4,"승인 시 대여 중, 반납 시 대여 가능",C,pending,,,,,
A01-1,R,R5,반납 처리 주체 미정,N/B,pending,,,,,
A01-1,R,R6,같은 장비의 동시 이중 대여 금지,C,pending,,,,,
A01-1,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
A01-1,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
D01-1,R,R1,"직원/작성자 역할과 제공된 계정, 소속팀",C,pending,,,,,
D01-1,R,R2,작성자의 문서 업로드,C,pending,,,,,
D01-1,R,R3,"같은 팀 직원만 조회, 다운로드, 타 팀 거부",C,pending,,,,,
D01-1,R,R4,회사 외부 저장소에 파일 저장 필수,C,pending,,,,,
D01-1,R,R5a,저장소 제품 미정,N/B,pending,,,,,
D01-1,R,R5b,인증 방식 미정,N/B,pending,,,,,
D01-1,R,R6,"공개 링크, 외부 고객 공유 제외",C,pending,,,,,
D01-1,G,G1a,시나리오 문서의 G1a,blocking=true,pending,,,,,
D01-1,G,G1b,시나리오 문서의 G1b,blocking=true,pending,,,,,
D01-1,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
L01-2,R,R1,관리자 역할이 있다,C,pending,,,,,
L01-2,R,R3,관리자가 직원 휴가를 승인할 수 있다,C,pending,,,,,
L01-2,R,R4,관리자가 직원 휴가를 반려할 수 있다,C,pending,,,,,
L01-2,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
L01-2,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
L01-2,G,G3a,시나리오 문서의 G3a,blocking=true,pending,,,,,
L01-2,G,G3b,시나리오 문서의 G3b,blocking=true,pending,,,,,
L02-2,R,R1a,직원 역할,C,pending,,,,,
L02-2,R,R1b,관리자 역할,C,pending,,,,,
L02-2,R,R1c,계정과 소속팀 정보 제공,C,pending,,,,,
L02-2,R,R2,"직원의 본인 휴가 신청 및 시작일, 종료일, 사유 입력",C,pending,,,,,
L02-2,R,R3,시작일이 오늘/미래이고 시작일≤종료일 검증,C,pending,,,,,
L02-2,R,R4,"본인의 대기, 승인 건과 날짜 중복 거부",C,pending,,,,,
L02-2,R,R5a,관리자의 처리 대상은 같은 팀 직원만,C,pending,,,,,
L02-2,R,R5b,관리자의 처리 대상은 대기 건만,C,pending,,,,,
L02-2,R,R5c,승인 처리는 한 단계,C,pending,,,,,
L02-2,R,R5d,관리자가 승인할 수 있다,C,pending,,,,,
L02-2,R,R5e,관리자가 반려할 수 있다,C,pending,,,,,
L02-2,R,R6,반려 사유 필수 및 직원에게 공개,C,pending,,,,,
L02-2,R,R7a,생성 시 대기 상태,C,pending,,,,,
L02-2,R,R7b,승인은 최종 상태,C,pending,,,,,
L02-2,R,R7c,반려는 최종 상태,C,pending,,,,,
L02-2,R,R7d,취소는 최종 상태,C,pending,,,,,
L02-2,R,R8,본인 대기 건만 취소 가능,C,pending,,,,,
L02-2,R,R9,"수정 미지원, 다시 신청",C,pending,,,,,
L02-2,R,R10,처리 완료 건의 재처리 거부,C,pending,,,,,
L02-2,R,R11,직원 본인 내역/관리자 같은 팀 내역 조회 경계,C,pending,,,,,
L02-2,R,R12a,휴가 유형 구분 제외,C,pending,,,,,
L02-2,R,R12b,연차 잔액 및 차감 제외,C,pending,,,,,
L02-2,R,R12c,휴일 계산 제외,C,pending,,,,,
L02-2,R,R12d,알림 제외,C,pending,,,,,
L02-2,R,R12e,외부 연동 제외,C,pending,,,,,
L03-2,R,R1a,직원 역할,C,pending,,,,,
L03-2,R,R1b,관리자 역할,C,pending,,,,,
L03-2,R,R1c,계정과 소속팀 정보 제공,C,pending,,,,,
L03-2,R,R2,"직원의 본인 휴가 신청 및 시작일, 종료일, 사유 입력",C,pending,,,,,
L03-2,R,R3,시작일이 오늘/미래이고 시작일≤종료일 검증,C,pending,,,,,
L03-2,R,R4,"본인의 대기, 승인 건과 날짜 중복 거부",C,pending,,,,,
L03-2,R,R5a1,관리자의 처리 대상은 대기 건만,C,pending,,,,,
L03-2,R,R5a2,승인 처리는 한 단계,C,pending,,,,,
L03-2,R,R5a3,관리자가 승인할 수 있다,C,pending,,,,,
L03-2,R,R5a4,관리자가 반려할 수 있다,C,pending,,,,,
L03-2,R,R5b,"승인, 반려할 직원의 팀 범위는 미정",N/B,pending,,,,,
L03-2,R,R6,반려 사유 필수 및 직원에게 공개,C,pending,,,,,
L03-2,R,R7a,생성 시 대기 상태,C,pending,,,,,
L03-2,R,R7b,승인은 최종 상태,C,pending,,,,,
L03-2,R,R7c,반려는 최종 상태,C,pending,,,,,
L03-2,R,R7d,취소는 최종 상태,C,pending,,,,,
L03-2,R,R8,본인 대기 건만 취소 가능,C,pending,,,,,
L03-2,R,R9,"수정 미지원, 다시 신청",C,pending,,,,,
L03-2,R,R10,처리 완료 건의 재처리 거부,C,pending,,,,,
L03-2,R,R11,직원 본인 내역/관리자 같은 팀 내역 조회 경계,C,pending,,,,,
L03-2,R,R12a,휴가 유형 구분 제외,C,pending,,,,,
L03-2,R,R12b,연차 잔액 및 차감 제외,C,pending,,,,,
L03-2,R,R12c,휴일 계산 제외,C,pending,,,,,
L03-2,R,R12d,알림 제외,C,pending,,,,,
L03-2,R,R12e,외부 연동 제외,C,pending,,,,,
L03-2,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
L04-2,R,R1,관리자 역할이 있다,C,pending,,,,,
L04-2,R,R3,관리자가 직원 휴가를 승인할 수 있다,C,pending,,,,,
L04-2,R,R4,관리자가 직원 휴가를 반려할 수 있다,C,pending,,,,,
L04-2,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
L04-2,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
L04-2,G,G3a,시나리오 문서의 G3a,blocking=true,pending,,,,,
L04-2,G,G3b,시나리오 문서의 G3b,blocking=true,pending,,,,,
L05-2,R,R1a,관리자 역할,C,not_scorable,,,,,
L05-2,R,R1b,직원 역할,C,not_scorable,,,,,
L05-2,R,R1c,계정과 직원 목록 제공,C,not_scorable,,,,,
L05-2,R,R2,"관리자가 확정된 휴가 기록을 직접 등록, 조회",C,not_scorable,,,,,
L05-2,R,R3,"등록 정보는 직원, 시작일, 종료일",C,not_scorable,,,,,
L05-2,R,R4,종료일<시작일인 등록 거부,C,not_scorable,,,,,
L05-2,R,R5,직원은 본인 기록 조회만 가능,C,not_scorable,,,,,
L05-2,R,R6,승인 상태 없음,C,not_scorable,,,,,
L05-2,R,R7a,직원 직접 신청 제외,C,not_scorable,,,,,
L05-2,R,R7b,승인 및 반려 제외,C,not_scorable,,,,,
L05-2,R,R7c,수정 및 취소 제외,C,not_scorable,,,,,
L05-2,R,R7d,잔여 일수 계산 제외,C,not_scorable,,,,,
L05-2,R,R7e,외부 연동 제외,C,not_scorable,,,,,
L06-2,R,R1,"직원, 관리자 역할과 제공된 계정",C,pending,,,,,
L06-2,R,R2,"직원의 본인 신청, 시작일, 종료일",C,pending,,,,,
L06-2,R,R3,"관리자는 전 직원 대기 건을 한 단계로 승인, 반려",C,pending,,,,,
L06-2,R,R4,"잘못된 날짜 순서, 본인 대기/승인 건 중복 거부",C,pending,,,,,
L06-2,R,R5,대기 중 취소 허용과 등록 후 취소 금지가 충돌,N/B,pending,,,,,
L06-2,R,R6a,생성 시 대기 상태,C,pending,,,,,
L06-2,R,R6b,"승인, 반려, 취소는 최종 상태",C,pending,,,,,
L06-2,R,R6c,처리 완료 건의 재처리 거부,C,pending,,,,,
L06-2,R,R7,직원 본인/관리자 전체 조회,C,pending,,,,,
L06-2,R,R8,"수정, 반려 사유, 연차, 알림, 외부 연동 제외",C,pending,,,,,
L06-2,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
R01-2,R,R1,직원 역할,C,pending,,,,,
R01-2,R,R2,직원이 회의실을 예약,C,pending,,,,,
R01-2,R,R3,직원이 본인 예약을 조회,C,pending,,,,,
R01-2,G,G1a,시나리오 문서의 G1a,blocking=true,pending,,,,,
R01-2,G,G1b,시나리오 문서의 G1b,blocking=true,pending,,,,,
R01-2,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
R02-2,R,R1,"직원 역할, 계정과 회의실 목록 제공",C,pending,,,,,
R02-2,R,R2,"회의실, 같은 날 시작/종료로 예약, 자기 예약 조회",C,pending,,,,,
R02-2,R,R3,"Asia/Seoul 및 미래 시작, 시작<종료 검증",C,pending,,,,,
R02-2,R,R4,"같은 회의실 시간 중복 거부, 경계 맞닿음 허용",C,pending,,,,,
R02-2,R,R5,동시 요청도 중복 확정 금지,C,pending,,,,,
R02-2,R,R6,"즉시 확정, 승인 없음",C,pending,,,,,
R02-2,R,R7,본인 시작 전 취소와 시간 재예약 허용,C,pending,,,,,
R02-2,R,R8,"시작 후 취소, 타인 취소 거부",C,pending,,,,,
R02-2,R,R9,"수정, 반복, 알림, 캘린더 제외",C,pending,,,,,
E01-2,R,R1,"직원, 팀장, 재무 담당자 역할과 계정 제공",C,pending,,,,,
E01-2,R,R2,"직원의 금액, 영수증 정산 신청",C,pending,,,,,
E01-2,R,R3,"팀장의 자기 팀 신청 승인, 반려",C,pending,,,,,
E01-2,R,R4,일정 금액 이상일 때 재무 추가 승인 필요,C,pending,,,,,
E01-2,R,R5,추가 승인 기준 금액 미정,N/B,pending,,,,,
E01-2,R,R6,"지급, 회계 연동 제외",C,pending,,,,,
E01-2,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
E01-2,G,G2a,시나리오 문서의 G2a,blocking=true,pending,,,,,
E01-2,G,G2b,시나리오 문서의 G2b,blocking=true,pending,,,,,
S01-2,R,R1,"고객, 상담원 역할과 제공된 계정",C,pending,,,,,
S01-2,R,R2,"제목, 본문 문의 등록 및 고객 본인 조회",C,pending,,,,,
S01-2,R,R3,"상담원 전체 접수 문의 조회, 답변 하나 등록",C,pending,,,,,
S01-2,R,R4,"접수→완료, 재답변, 재개 없음",C,pending,,,,,
S01-2,R,R5,"빈 제목, 본문, 답변 거부",C,pending,,,,,
S01-2,R,R6,"수정, 삭제, 첨부, 알림, 외부 연동 제외",C,pending,,,,,
S01-2,R,R7,완료 배지 색상 미정,N/N,pending,,,,,
A01-2,R,R1,"직원, 장비 담당자 역할과 제공된 계정/장비 목록",C,pending,,,,,
A01-2,R,R2,"직원의 대여 가능한 장비 선택, 신청",C,pending,,,,,
A01-2,R,R3,담당자 승인,C,pending,,,,,
A01-2,R,R4,"승인 시 대여 중, 반납 시 대여 가능",C,pending,,,,,
A01-2,R,R5,반납 처리 주체 미정,N/B,pending,,,,,
A01-2,R,R6,같은 장비의 동시 이중 대여 금지,C,pending,,,,,
A01-2,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
A01-2,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
D01-2,R,R1,"직원/작성자 역할과 제공된 계정, 소속팀",C,pending,,,,,
D01-2,R,R2,작성자의 문서 업로드,C,pending,,,,,
D01-2,R,R3,"같은 팀 직원만 조회, 다운로드, 타 팀 거부",C,pending,,,,,
D01-2,R,R4,회사 외부 저장소에 파일 저장 필수,C,pending,,,,,
D01-2,R,R5a,저장소 제품 미정,N/B,pending,,,,,
D01-2,R,R5b,인증 방식 미정,N/B,pending,,,,,
D01-2,R,R6,"공개 링크, 외부 고객 공유 제외",C,pending,,,,,
D01-2,G,G1a,시나리오 문서의 G1a,blocking=true,pending,,,,,
D01-2,G,G1b,시나리오 문서의 G1b,blocking=true,pending,,,,,
D01-2,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
L01-3,R,R1,관리자 역할이 있다,C,pending,,,,,
L01-3,R,R3,관리자가 직원 휴가를 승인할 수 있다,C,pending,,,,,
L01-3,R,R4,관리자가 직원 휴가를 반려할 수 있다,C,pending,,,,,
L01-3,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
L01-3,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
L01-3,G,G3a,시나리오 문서의 G3a,blocking=true,pending,,,,,
L01-3,G,G3b,시나리오 문서의 G3b,blocking=true,pending,,,,,
L02-3,R,R1a,직원 역할,C,pending,,,,,
L02-3,R,R1b,관리자 역할,C,pending,,,,,
L02-3,R,R1c,계정과 소속팀 정보 제공,C,pending,,,,,
L02-3,R,R2,"직원의 본인 휴가 신청 및 시작일, 종료일, 사유 입력",C,pending,,,,,
L02-3,R,R3,시작일이 오늘/미래이고 시작일≤종료일 검증,C,pending,,,,,
L02-3,R,R4,"본인의 대기, 승인 건과 날짜 중복 거부",C,pending,,,,,
L02-3,R,R5a,관리자의 처리 대상은 같은 팀 직원만,C,pending,,,,,
L02-3,R,R5b,관리자의 처리 대상은 대기 건만,C,pending,,,,,
L02-3,R,R5c,승인 처리는 한 단계,C,pending,,,,,
L02-3,R,R5d,관리자가 승인할 수 있다,C,pending,,,,,
L02-3,R,R5e,관리자가 반려할 수 있다,C,pending,,,,,
L02-3,R,R6,반려 사유 필수 및 직원에게 공개,C,pending,,,,,
L02-3,R,R7a,생성 시 대기 상태,C,pending,,,,,
L02-3,R,R7b,승인은 최종 상태,C,pending,,,,,
L02-3,R,R7c,반려는 최종 상태,C,pending,,,,,
L02-3,R,R7d,취소는 최종 상태,C,pending,,,,,
L02-3,R,R8,본인 대기 건만 취소 가능,C,pending,,,,,
L02-3,R,R9,"수정 미지원, 다시 신청",C,pending,,,,,
L02-3,R,R10,처리 완료 건의 재처리 거부,C,pending,,,,,
L02-3,R,R11,직원 본인 내역/관리자 같은 팀 내역 조회 경계,C,pending,,,,,
L02-3,R,R12a,휴가 유형 구분 제외,C,pending,,,,,
L02-3,R,R12b,연차 잔액 및 차감 제외,C,pending,,,,,
L02-3,R,R12c,휴일 계산 제외,C,pending,,,,,
L02-3,R,R12d,알림 제외,C,pending,,,,,
L02-3,R,R12e,외부 연동 제외,C,pending,,,,,
L03-3,R,R1a,직원 역할,C,pending,,,,,
L03-3,R,R1b,관리자 역할,C,pending,,,,,
L03-3,R,R1c,계정과 소속팀 정보 제공,C,pending,,,,,
L03-3,R,R2,"직원의 본인 휴가 신청 및 시작일, 종료일, 사유 입력",C,pending,,,,,
L03-3,R,R3,시작일이 오늘/미래이고 시작일≤종료일 검증,C,pending,,,,,
L03-3,R,R4,"본인의 대기, 승인 건과 날짜 중복 거부",C,pending,,,,,
L03-3,R,R5a1,관리자의 처리 대상은 대기 건만,C,pending,,,,,
L03-3,R,R5a2,승인 처리는 한 단계,C,pending,,,,,
L03-3,R,R5a3,관리자가 승인할 수 있다,C,pending,,,,,
L03-3,R,R5a4,관리자가 반려할 수 있다,C,pending,,,,,
L03-3,R,R5b,"승인, 반려할 직원의 팀 범위는 미정",N/B,pending,,,,,
L03-3,R,R6,반려 사유 필수 및 직원에게 공개,C,pending,,,,,
L03-3,R,R7a,생성 시 대기 상태,C,pending,,,,,
L03-3,R,R7b,승인은 최종 상태,C,pending,,,,,
L03-3,R,R7c,반려는 최종 상태,C,pending,,,,,
L03-3,R,R7d,취소는 최종 상태,C,pending,,,,,
L03-3,R,R8,본인 대기 건만 취소 가능,C,pending,,,,,
L03-3,R,R9,"수정 미지원, 다시 신청",C,pending,,,,,
L03-3,R,R10,처리 완료 건의 재처리 거부,C,pending,,,,,
L03-3,R,R11,직원 본인 내역/관리자 같은 팀 내역 조회 경계,C,pending,,,,,
L03-3,R,R12a,휴가 유형 구분 제외,C,pending,,,,,
L03-3,R,R12b,연차 잔액 및 차감 제외,C,pending,,,,,
L03-3,R,R12c,휴일 계산 제외,C,pending,,,,,
L03-3,R,R12d,알림 제외,C,pending,,,,,
L03-3,R,R12e,외부 연동 제외,C,pending,,,,,
L03-3,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
L04-3,R,R1,관리자 역할이 있다,C,pending,,,,,
L04-3,R,R3,관리자가 직원 휴가를 승인할 수 있다,C,pending,,,,,
L04-3,R,R4,관리자가 직원 휴가를 반려할 수 있다,C,pending,,,,,
L04-3,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
L04-3,G,G2,시나리오 문서의 G2,blocking=true,pending,,,,,
L04-3,G,G3a,시나리오 문서의 G3a,blocking=true,pending,,,,,
L04-3,G,G3b,시나리오 문서의 G3b,blocking=true,pending,,,,,
L05-3,R,R1a,관리자 역할,C,not_scorable,,,,,
L05-3,R,R1b,직원 역할,C,not_scorable,,,,,
L05-3,R,R1c,계정과 직원 목록 제공,C,not_scorable,,,,,
L05-3,R,R2,"관리자가 확정된 휴가 기록을 직접 등록, 조회",C,not_scorable,,,,,
L05-3,R,R3,"등록 정보는 직원, 시작일, 종료일",C,not_scorable,,,,,
L05-3,R,R4,종료일<시작일인 등록 거부,C,not_scorable,,,,,
L05-3,R,R5,직원은 본인 기록 조회만 가능,C,not_scorable,,,,,
L05-3,R,R6,승인 상태 없음,C,not_scorable,,,,,
L05-3,R,R7a,직원 직접 신청 제외,C,not_scorable,,,,,
L05-3,R,R7b,승인 및 반려 제외,C,not_scorable,,,,,
L05-3,R,R7c,수정 및 취소 제외,C,not_scorable,,,,,
L05-3,R,R7d,잔여 일수 계산 제외,C,not_scorable,,,,,
L05-3,R,R7e,외부 연동 제외,C,not_scorable,,,,,
L06-3,R,R1,"직원, 관리자 역할과 제공된 계정",C,pending,,,,,
L06-3,R,R2,"직원의 본인 신청, 시작일, 종료일",C,pending,,,,,
L06-3,R,R3,"관리자는 전 직원 대기 건을 한 단계로 승인, 반려",C,pending,,,,,
L06-3,R,R4,"잘못된 날짜 순서, 본인 대기/승인 건 중복 거부",C,pending,,,,,
L06-3,R,R5,대기 중 취소 허용과 등록 후 취소 금지가 충돌,N/B,pending,,,,,
L06-3,R,R6a,생성 시 대기 상태,C,pending,,,,,
L06-3,R,R6b,"승인, 반려, 취소는 최종 상태",C,pending,,,,,
L06-3,R,R6c,처리 완료 건의 재처리 거부,C,pending,,,,,
L06-3,R,R7,직원 본인/관리자 전체 조회,C,pending,,,,,
L06-3,R,R8,"수정, 반려 사유, 연차, 알림, 외부 연동 제외",C,pending,,,,,
L06-3,G,G1,시나리오 문서의 G1,blocking=true,pending,,,,,
R01-3,R,R1,직원 역할,C,pending,,,,,
R01-3,R,R2,직원이 회의실을 예약,C,pending,,,,,
R01-3,R,R3,직원이 본인 예약을 조회,C,pending,,,,,
R01-3,G,G1a,시나리오 문서의 G1a,blocking=true,pending,,,,,
